Date,Open,High,Low,Close,Adj_Close,Volume,Daily_Return_%,MA_20,MA_50,Volatility_20d
2004-11-29 05:00:00,1.038617466,1.047956348,1.015419891,1.030935287,1.030935287,1712916800,,,,
2004-11-30 05:00:00,1.036207508,1.036207508,1.009996891,1.009996891,1.009996891,1028518400,-2.0310097310695774,,,
2004-12-01 05:00:00,1.021144271,1.02355426,0.998247868,1.021144271,1.021144271,800553600,1.1037043875415486,,,
2004-12-02 05:00:00,0.996138846,1.007737683,0.97399583,0.982280254,0.982280254,987442400,-3.8059281243326026,,,
2004-12-03 05:00:00,0.972037273,0.979117207,0.930161925,0.944170654,0.944170654,1238848800,-3.8797074302177714,,,
2004-12-06 05:00:00,0.967819456,0.997795794,0.948237365,0.990866899,0.990866899,1247920800,4.945742043789481,,,
2004-12-07 05:00:00,0.993126209,1.005177165,0.942363271,0.94733429,0.94733429,1056899200,-4.393386139342614,,,
2004-12-08 05:00:00,0.950195873,0.970531245,0.934680579,0.953208208,0.953208208,691902400,0.6200470163494121,,,
2004-12-09 05:00:00,0.946128238,0.970079095,0.934981614,0.963903487,0.963903487,741501600,1.1220296793751583,,,
2004-12-10 05:00:00,0.979569203,0.994933561,0.974598186,0.981376946,0.981376946,775773600,1.8127809719190369,,,
2004-12-13 05:00:00,0.988456525,0.992674256,0.973091366,0.977761209,0.977761209,395040800,-0.3684350865116093,,,
2004-12-14 05:00:00,0.985142503,0.992373375,0.979418101,0.983485699,0.983485699,415721600,0.5854691255193778,,,
2004-12-15 05:00:00,0.98273302,0.986047335,0.973996479,0.983034194,0.983034194,398361600,-0.04590864925225757,,,
2004-12-16 05:00:00,0.996440484,1.016775867,0.994933914,1.003219247,1.003219247,1126115200,2.053341900332728,,,
2004-12-17 05:00:00,1.006833405,1.009846545,0.97761126,0.978966892,0.978966892,783496000,-2.4174531212916572,,,
2004-12-20 05:00:00,0.986196935,0.994180288,0.93031196,0.944772899,0.944772899,1168126400,-3.492865109068466,,,
2004-12-21 05:00:00,0.957426206,0.960589481,0.927902078,0.959384084,0.959384084,1064414400,1.5465288023677637,,,
2004-12-22 05:00:00,0.958932952,0.969477336,0.955016392,0.960288584,0.960288584,565829600,0.09427923759468548,,,
